Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0026597,0.00021122,0.042854,0,0,0,10.692,0.036104,-1.1158E-05,0.0012654,0.016674,-7.8859E-06,0.029593,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/base_link.STL,,body^装配体1-1/l_hip_motor_fix_1-2;body^装配体1-1/hip_motor_fix-2;body^装配体1-1/hip_motor_fix_1-2;body^装配体1-1/body_board_1-1;body^装配体1-1/镜向body_board_1-1;body^装配体1-1/EC-A8112-P1-18-1;body^装配体1-1/EC-A8112-P1-18-2;body^装配体1-1/body_board_3-1;body^装配体1-1/body_board_5-1;body^装配体1-1/battary_fix_2-1;body^装配体1-1/battary_fix_2-2;body^装配体1-1/battary_fix_3-2;body^装配体1-1/battary_fix_3-1;body^装配体1-1/battary_fix_1-1;body^装配体1-1/battary_fix_1-2;body^装配体1-1/body_board_4-1;body^装配体1-1/body_board_6-1;body^装配体1-1/DM_4340-1;body^装配体1-1/body_board_7-1;body^装配体1-1/shoulder_pitch_motor_fix_1-1;body^装配体1-1/shoulder_pitch_motor_fix_1-2;body^装配体1-1/DM_4340-2;body^装配体1-1/海四达电池-1;body^装配体1-1/imu_support03-1;body^装配体1-1/can板-1;body^装配体1-1/电源板简易模型-1;body^装配体1-1/walkfishminipc-1;body^装配体1-1/casing_2-1;body^装配体1-1/casing_3-1;body^装配体1-1/casing_4-1;body^装配体1-1/motor_hide_print-1;body^装配体1-1/motor_hide_print-2;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_1_ASM-1/DOCUMENT_A_1_2_3_ASM-1/N2_SHELL_BACK_1-1;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_1_ASM-1/DOCUMENT_A_1_2_3_ASM-1/N2_SHELL_FRONT_1-1;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_1_ASM-1/REALSENSE_D435_ASM-1/REALSENSE_D435_1_ASM-1/BOSS-EXTRUDE9-1;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_1_ASM-1/N2_SHELL_FRONT_2-1;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_1_ASM-1/N2_SHELL_BACK_3-1;body^装配体1-1/00_n2_1201_asm-1/N2_BODY_1202_-3_ASM-1/DOCUMENT_A_1_2_3_4_5_ASM-1/N2_SHELL_BACK_2_R1-1;body^装配体1-1/00_n2_1201_asm-1/N2_HEAD_1_ASM-1/REALSENSE_D435_ASM-1/REALSENSE_D435_1_ASM-1/BOSS-EXTRUDE9-1;body^装配体1-1/00_n2_1201_asm-1/PRT0001-1;body^装配体1-1/00_n2_1201_asm-1/BATTERY_BOX_N2_3-1;body^装配体1-1/00_n2_1201_asm-1/N2_LIGHT01-1;body^装配体1-1/00_n2_1201_asm-1/N2_LIGHT01-2;body^装配体1-1/00_n2_1201_asm-1/N2_LIGHT01-3;body^装配体1-1/00_n2_1201_asm-1/N2_LIGHT01-4;body^装配体1-1/电池电路板_2-1;body^装配体1-1/电池电路板_1-1;n2_battery_shell_1-1/N2_1201_ASM_1-1/BODY_1000_ASM_1-1/BATTERY_BOX_N2_1_1-1;n2_battery_shell_1-1/N2_1201_ASM_1-1/BODY_1000_ASM_1-1/BATTERY_BOX_N2_2_1-1;body^装配体1-1/00_n2_1201_asm-1/N2_HEAD_1_ASM-1/N2_HEAD_1203_2-1,base2_cs,rl1_axis,r_leg_hip_roll_joint,revolute,-0.0058585,-0.09,-0.084647,0,0.7854,0,base_link,0,0,1,0,0,-1,0.65,,,,,,,,
l_arm_shoulder_pitch_link,0.0029295,-0.0082628,0.0009965,0,0,0,0.53256,0.00025803,-8.4172E-07,3.9348E-08,0.00019,2.8405E-07,0.00019086,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_pitch_link.STL,,镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向shoulder_pitch_fix_2-1;镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向shoulder_pitch_fix_3-1;镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向DM_4340-1;镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向shoulder_yaw_fix_8-1;镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向gear20X27X4-1;镜向arm^装配体1-2/镜向arm_shoulder_pitch^镜向arm_装配体1-1/镜向shoulder_pitch_fix_1-1,l1_cs,l1_axis,l_arm_shoulder_pitch_joint,revolute,0.003069,0.16731,0.17743,0.17453,0,0,base_link,0,1,0,0,0,-2.7,2.7,,,,,,,,
l_arm_shoulder_roll_link,0.0036277,0.029074,-0.054867,0,0,0,0.77513,0.00046269,3.0555E-06,-1.5146E-06,0.00035149,1.9611E-05,0.00040004,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_roll_link.STL,,镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_5_V2-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_6_V2-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_4-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向DM_4340-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_9-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_7-1;镜向arm^装配体1-2/镜向arm_shoulder_roll^镜向arm_装配体1-1/镜向shoulder_yaw_fix_7-2,l2_cs,l2_axis,l_arm_shoulder_roll_joint,revolute,0,0,0,-0.17453,0,0,l_arm_shoulder_pitch_link,1,0,0,0,0,0,2.1,,,,,,,,
l_arm_shoulder_yaw_link,0.0025992,4.9093E-05,-0.15799,0,0,0,0.62854,0.00025606,-7.1141E-08,1.0035E-06,0.00034723,-8.1583E-07,0.00022463,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_shoulder_yaw_link.STL,,镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向shoulder_roll_fix_3-1;镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向shoulder_roll_fix_1-1;镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向DM_4340-1;镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向gear20X27X4-1;镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向elbow_fix_1-1;镜向arm^装配体1-2/镜向arm_shoulder_yaw^镜向arm_装配体1-1/镜向shoulder_roll_fix_2-1,l3_cs,l3_axis,l_arm_shoulder_yaw_joint,revolute,0,0.030484,0,0,0,0,l_arm_shoulder_roll_link,0,0,1,0,0,-2.7,2.7,,,,,,,,
l_arm_elbow_link,-0.0038821,0.00087577,-0.07099,0,0,0,0.35793,0.00029656,7.1133E-08,-2.9612E-06,0.00030929,4.6678E-07,6.9881E-05,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_elbow_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_elbow_link.STL,,镜向arm^装配体1-2/镜向arm_wrist_yaw^镜向arm_装配体1-1/镜向elbow_fix_4-1;镜向arm^装配体1-2/镜向arm_wrist_yaw^镜向arm_装配体1-1/镜向elbow_fix_3-1;镜向arm^装配体1-2/镜向arm_wrist_yaw^镜向arm_装配体1-1/镜向elbow_fix_2-1;镜向arm^装配体1-2/镜向arm_wrist_yaw^镜向arm_装配体1-1/镜向elbow-2,l4_cs,l4_axis,l_arm_elbow_joint,revolute,0.0030284,0,-0.17141,0,0,0,l_arm_shoulder_yaw_link,0,1,0,0,0,-1.8,1,,,,,,,,
l_arm_hand_link,-2.6372E-08,-0.00036865,-0.014941,0,0,0,0.063335,1.7685E-05,-4.0855E-11,8.2119E-11,1.7585E-05,1.3619E-11,1.1594E-05,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_hand_link.STL,1,1,1,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/l_arm_hand_link.STL,,镜向arm^装配体1-2/镜向arm_wrist_yaw^镜向arm_装配体1-1/镜向N2 arm_ball-2,l5_cs,,l_arm_hand_joint,fixed,-0.0045,0.00036368,-0.1815,0,0,0,l_arm_elbow_link,0,0,0,,,,,,,,,,,,
r_arm_shoulder_pitch_link,0.0029295,0.0083273,7.0945E-05,0,0,0,0.53256,0.00025803,8.4168E-07,3.9225E-08,0.00019,-2.8399E-07,0.00019086,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_pitch_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_pitch_link.STL,,arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/gear20X27X4-1;arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/shoulder_yaw_fix_8-1;arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/DM_4340-1;arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/shoulder_pitch_fix_3-1;arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/shoulder_pitch_fix_2-1;arm^装配体1-1/arm_shoulder_pitch^arm_装配体1-1/shoulder_pitch_fix_1-1,r1_cs,r1_axis,r_arm_shoulder_pitch_joint,revolute,0.003069,-0.16721,0.17835,-0.17453,0,0,base_link,0,1,0,0,0,-2.7,2.7,,,,,,,,
r_arm_shoulder_roll_link,0.0036281,-0.029171,-0.05579,0,0,0,0.77513,0.00046269,-3.0575E-06,-1.5131E-06,0.00035149,-1.9611E-05,0.00040004,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_roll_link.STL,,arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_5_V2-1;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_7-2;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_7-1;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_9-1;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/DM_4340-1;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_4-1;arm^装配体1-1/arm_shoulder_roll^arm_装配体1-1/shoulder_yaw_fix_6_V2-1,r2_cs,r2_axis,r_arm_shoulder_roll_joint,revolute,0,0,0,0.17453,0,0,r_arm_shoulder_pitch_link,1,0,0,0,0,-2.1,0,,,,,,,,
r_arm_shoulder_yaw_link,0.0025992,-5.4055E-05,-0.15892,0,0,0,0.62854,0.00025606,6.9256E-08,1.0036E-06,0.00034723,8.1612E-07,0.00022463,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_yaw_link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_shoulder_yaw_link.STL,,arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/shoulder_roll_fix_3-1;arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/elbow_fix_1-1;arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/gear20X27X4-1;arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/DM_4340-1;arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/shoulder_roll_fix_2-1;arm^装配体1-1/arm_shoulder_yaw^arm_装配体1-1/shoulder_roll_fix_1-1,r3_cs,r3_axis,r_arm_shoulder_yaw_joint,revolute,0,-0.030576,0,0,0,0,r_arm_shoulder_roll_link,0,0,1,0,0,-2.7,2.7,,,,,,,,
r_arm_elbow_link,-0.0038821,-0.00087579,-0.07099,0,0,0,0.35793,0.00029656,-7.2704E-08,-2.9611E-06,0.00030929,-4.6693E-07,6.9881E-05,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_elbow_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://N2_NEW_CALF.SLDASM/meshes/r_arm_elbow_link.STL,,arm^装配体1-1/arm_wrist_yaw^arm_装配体1-1/elbow_fix_4-1;arm^装配体1-1/arm_wrist_yaw^arm_装配体1-1/elbow_fix_2-1;arm^装配体1-1/arm_wrist_yaw^arm_装配体1-1/elbow_fix_3-1;arm^装配体1-1/arm_wrist_yaw^arm_装配体1-1/elbow-1,r4_cs,r4_axis,r_arm_elbow_joint,revolute,0.0030284,0,-0.17234,0,0,0,r_arm_shoulder_yaw_link,0,1,0,0,0,-1.8,1,,,,,,,,
